203209669,203111831,202801535,202931644,203124657,203028741
203230178,203223545,202604063,201421056,200317318,100519307
203218075,203006048,100422148,203230106,103418620,102642939
203218131,203020519,201810715,201819017,103418607,202802686
103547537,203230559,202410054,203230530,203216240,103546896
203121177,103215255,202939939,200523181,200926877,103429381
201333350,203130844,203216331,203139289,202613576,103407020
102936849,202628271,202518051,200832029,102017985,102035984
202939234,203207789,203126982,103541551,203226210,102633770
102131630,203225674,201218762,203004771,202423003,202521263
203125331,100209709,202704561,203025186,201816013,102541102
202722716,202718673,201816640,203136147,202530890,103520302
202924831,201732473,202416050,201823568,103330778,103518422
201823444,202335744,203138752,201720548,203114974,201214536
202928459,200715259,200516474,201029572,202226171,100208517
202937045,202237428,203208425,203214011,203123666,203229936
202024724,200721334,202704996,202606384,202023823,101941699
100130429,202603560,100124089,101929102,101451138,101817378
203235102,203227464,203234509,203018786,203234838,101507353
103547185,203230174,103524972,200728660,202712443,203121257
103544831,203235257,203220734,203135506,203228753,203232129
203136950,203107466,202918520,202821546,201334865,103529897
202223371,100511397,200333678,100320780,103401720,103404251
203027757,202934784,203221646,101422592,203227494,100326369
202407015,200123192,202933590,202818405,202233088,100618429
203235117,203233758,202919254,103547621,103115884,103541779
202927280,103521101,201827820,200411104,202825610,203107559
103546114,202518152,202139417,202220927,201015832,102210309
101724942,100121172,200138615,100124089,202407848,103138483
203221217,202722525,203235767,103403699,103445184,103313175
201029318,200231932,200134115,200213180,201713456,102226556
201122415,200323310,202040281,201628002,200332644,202414959
201319882,100117010,202808613,202323931,202807652,202320977
103424911,103545078,100211074,203106075,103401605,103219373
203135647,201833778,203004308,101220137,100526516,102312758
202314909,203205623,203018904,103547492,103547499,100830853
103529539,203220734,202801789,203234361,203120490,103339772
203227906,201721621,203128607,202815372,200720315,202031267
100524060,200818021,202235359,201514894,201825273,103238389
202227456,200129071,202610307,200616910,201322340,201915728
203014991,201440527,202602760,202430296,203229474,103122022
203233538,203230960,103517558,103544700,103546896,103545770
103120305,202939709,202721332,202533350,202820836,203021445
203234219,203135154,203232738,203208749,100418048,103309451
203230560,203118077,203031141,203112320,101350351,103527611
201425374,200917783,200921764,102640210,102427043,100421715
103546571,203235389,202217153,203102270,202422249,100333190
202231464,201010017,200318623,202130966,202320898,100512291
103117980,200531442,203110973,100838867,202804795,102719520
203234402,203233434,203028753,202604568,200532279,203231572
103546114,203229579,203209025,103546823,203231727,103433052
201126678,201614845,203221641,203139484,200407964,203130246
101729525,201920091,202810748,200420112,203129160,103312674
203232462,200732430,100324714,203232844,203234680,203232971
203230178,202726403,202035582,200120712,202535798,100223953
203137682,203105833,203102667,103541446,103545042,103543860
203230579,203229436,200922542,203108870,200121859,103319371
202935172,100330357,200916462,103537307,101506255,103413770
202130376,200727125,201131713,103030292,102540970,103028234
103434720,200136585,202937687,203226063,200121972,103548998
202720867,202712155,202518069,200324416,100120818,100824477
203224747,202034761,202602861,203208020,103237876,103422144
201026091,202712155,200419406,200417600,200723173,202927449
202925337,202810786,202132648,203130258,202810275,201429071
203234778,103336461,203227264,203233302,103337485,103425106
200626841,202222771,102208911,202531421,202604361,100509530
200930545,200835253,202708787,200140617,202126590,103412954
103547833,203229569,103546811,203016047,203209672,103547650
103120387,202711998,202928943,202722688,202802226,102928141
203231744,202926953,203230088,103527611,103534696,103229477
103114748,103339019,200627431,203136327,103525700,203106632
103321017,203026688,202808934,203018907,201327778,100826111
203231515,200130806,203214376,202815795,101019635,100936813
203228743,203231413,203223518,203220624,102418553,103408796
203126669,203115870,202934633,203128108,103529897,103312674
202726913,201724961,200614874,200322874,201336529,200406317
103134978,201524834,202230646,203029804,202926411,203124502
201825654,100515361,203114913,202133973,200817707,103025948
203230169,203215626,203107639,202239362,203230106,100822223
200328371,203115699,200531857,103431229,202132293,100521699
203031254,203235301,100211982,203235484,103327665,103520815
203114235,202608048,202222298,202427880,103024874,103025948
203229830,203226710,202916187,203228788,103543006,103543733
200726329,200224679,201326894,200215780,201340409,103007200
